# chipvoice register log v1
# name: song-e2e
# chip: 2a03
# clock: 1789773
# cycles: 17897730
# source: test-e2e.mjs, as chipvoice.dev renders it
# notes: through the driver and the sequencer
0 4015 0F
9716583 4003 F8
9716583 400C 36
9716583 400E 8D
9716583 400F F8
9730753 4017 40
9730757 4006 FF
9730761 4005 87
9730765 4017 C0
9730773 4005 08
9730777 4006 80
9746413 400C 33
9760583 4017 40
9760587 4006 00
9760591 4005 8F
9760595 4017 C0
9760603 4005 08
9760607 4006 FB
9776243 4000 7E
9776243 400C 31
9790372 4006 AB
9806072 4000 7D
9806072 400C 30
9820242 4017 40
9820246 4006 FF
9820250 4005 87
9820254 4017 C0
9820262 4005 08
9820266 4006 80
9835902 4000 7C
9850071 4017 40
9850075 4006 00
9850079 4005 8F
9850083 4017 C0
9850091 4005 08
9850095 4006 FB
9879861 4006 AB
9893206 400C 36
9893206 400E 8D
9893206 400F F8
9895561 4000 7B
9909731 4017 40
9909735 4006 FF
9909739 4005 87
9909743 4017 C0
9909751 4005 08
9909755 4006 80
9923035 400C 33
9939560 4017 40
9939564 4006 00
9939568 4005 8F
9939572 4017 C0
9939580 4005 08
9939584 4006 FB
9952865 400C 31
9955220 4000 7A
9969350 4006 AB
9982694 400C 30
9999219 4017 40
9999223 4006 FF
9999227 4005 87
9999231 4017 C0
9999239 4005 08
9999243 4006 80
10029009 4004 30
10044708 4008 00
10044708 400B 05
10044708 4000 79
10069828 4008 FF
10069828 400A 74
10069828 400B FC
10069828 4004 39
10069828 4005 08
10069828 4006 3A
10069828 4007 FA
10069828 400C 3D
10069828 400E 06
10069828 400F F8
10099658 4004 38
10099658 400C 3B
10099658 400E 04
10099698 4017 40
10099702 4006 00
10099706 4005 8F
10099710 4017 C0
10099718 4005 08
10099722 4006 C4
10104368 4002 BC
10129487 4004 37
10129487 4006 7C
10129487 400C 38
10129487 400E 03
10134197 4000 78
10134197 4002 BB
10159317 400C 34
10159317 400E 01
10159357 4017 40
10159361 4006 FF
10159365 4005 87
10159369 4017 C0
10159377 4005 08
10159381 4006 3A
10164027 4002 BC
10189146 4004 36
10189146 400C 32
10189146 400E 00
10189186 4017 40
10189190 4006 00
10189194 4005 8F
10189198 4017 C0
10189206 4005 08
10189210 4006 C4
10193856 4002 BD
10218976 4006 7C
10218976 400C 30
10223686 4002 BF
10246450 400C 3D
10246450 400E 06
10246450 400F F8
10248845 4017 40
10248849 4006 FF
10248853 4005 87
10248857 4017 C0
10248865 4005 08
10248869 4006 3A
10276280 400C 3B
10276280 400E 04
10278675 4017 40
10278679 4006 00
10278683 4005 8F
10278687 4017 C0
10278695 4005 08
10278699 4006 C4
10306110 400C 38
10306110 400E 03
10308464 4006 7C
10313174 4002 BD
10335939 400C 34
10335939 400E 01
10338334 4017 40
10338338 4006 FF
10338342 4005 87
10338346 4017 C0
10338354 4005 08
10338358 4006 3A
10343004 4002 BC
10365769 400C 32
10365769 400E 00
10368164 4017 40
10368168 4006 00
10368172 4005 8F
10368176 4017 C0
10368184 4005 08
10368188 4006 C4
10372834 4002 BB
10395598 400C 30
10397953 4008 00
10397953 400B 04
10397953 4006 7C
10402663 4000 30
10423073 4008 FF
10423073 400A 74
10423073 400B FC
10423073 4000 7F
10423073 4001 08
10423073 4002 E1
10423073 4003 F8
10423073 400C 3C
10423073 400E 09
10423073 400F F8
10427823 4017 40
10427827 4006 FF
10427831 4005 87
10427835 4017 C0
10427843 4005 08
10427847 4006 3A
10452902 400C 3A
10457652 4017 40
10457656 4006 00
10457660 4005 8F
10457664 4017 C0
10457672 4005 08
10457676 4006 C4
10482732 4000 7E
10482732 400C 37
10487442 4006 7C
10512561 4000 7D
10512561 400C 34
10517311 4017 40
10517315 4006 FF
10517319 4005 87
10517323 4017 C0
10517331 4005 08
10517335 4006 3A
10542391 4000 7C
10542391 400C 32
10547141 4017 40
10547145 4006 00
10547149 4005 8F
10547153 4017 C0
10547161 4005 08
10547165 4006 C4
10572221 400C 31
10576930 4006 7C
10602050 4000 7B
10602050 400C 30
10606800 4017 40
10606804 4006 FF
10606808 4005 87
10606812 4017 C0
10606820 4005 08
10606824 4006 3A
10636630 4017 40
10636634 4006 00
10636638 4005 8F
10636642 4017 C0
10636650 4005 08
10636654 4006 C4
10661709 4000 7A
10666419 4006 7C
10696289 4017 40
10696293 4006 FF
10696297 4005 87
10696301 4017 C0
10696309 4005 08
10696313 4006 3A
10726118 4017 40
10726122 4006 00
10726126 4005 8F
10726130 4017 C0
10726138 4005 08
10726142 4006 C4
10751198 4008 00
10751198 400B 04
10751198 4000 30
10755908 4006 7C
10776317 4008 FF
10776317 400A 74
10776317 400B FC
10776317 4000 7F
10776317 4001 08
10776317 4002 FD
10776317 4003 F8
10776317 400C 3C
10776317 400E 09
10776317 400F F8
10785777 4017 40
10785781 4006 FF
10785785 4005 87
10785789 4017 C0
10785797 4005 08
10785801 4006 3A
10806147 400C 3A
10815607 4017 40
10815611 4006 00
10815615 4005 8F
10815619 4017 C0
10815627 4005 08
10815631 4006 C4
10835977 4000 7E
10835977 400C 37
10845396 4006 7C
10865806 4000 7D
10865806 400C 34
10875266 4017 40
10875270 4006 FF
10875274 4005 87
10875278 4017 C0
10875286 4005 08
10875290 4006 3A
10895636 4000 7C
10895636 400C 32
10905095 4017 40
10905099 4006 00
10905103 4005 8F
10905107 4017 C0
10905115 4005 08
10905119 4006 C4
10925465 400C 31
10934885 4006 7C
10955295 4000 7B
10955295 400C 30
10964755 4017 40
10964759 4006 FF
10964763 4005 87
10964767 4017 C0
10964775 4005 08
10964779 4006 3A
10994584 4017 40
10994588 4006 00
10994592 4005 8F
10994596 4017 C0
10994604 4005 08
10994608 4006 C4
11014954 4000 7A
11024374 4006 7C
11054243 4017 40
11054247 4006 FF
11054251 4005 87
11054255 4017 C0
11054263 4005 08
11054267 4006 3A
11084073 4017 40
11084077 4006 00
11084081 4005 8F
11084085 4017 C0
11084093 4005 08
11084097 4006 C4
11104442 4008 00
11104442 400B 04
11104442 4000 30
11113862 4006 7C
11129562 4008 FF
11129562 400A 74
11129562 400B FC
11129562 4000 30
11129562 400C 36
11129562 400E 8D
11129562 400F F8
11143732 4017 40
11143736 4006 FF
11143740 4005 87
11143744 4017 C0
11143752 4005 08
11143756 4006 3A
11159392 400C 33
11173561 4017 40
11173565 4006 00
11173569 4005 8F
11173573 4017 C0
11173581 4005 08
11173585 4006 C4
11189221 400C 31
11203351 4006 7C
11219051 400C 30
11233221 4017 40
11233225 4006 FF
11233229 4005 87
11233233 4017 C0
11233241 4005 08
11233245 4006 3A
11263050 4017 40
11263054 4006 00
11263058 4005 8F
11263062 4017 C0
11263070 4005 08
11263074 4006 C4
11292840 4006 7C
11306184 400C 38
11306184 400E 8C
11306184 400F F8
11322709 4017 40
11322713 4006 FF
11322717 4005 87
11322721 4017 C0
11322729 4005 08
11322733 4006 3A
11336014 400C 37
11352539 4017 40
11352543 4006 00
11352547 4005 8F
11352551 4017 C0
11352559 4005 08
11352563 4006 C4
11365844 400C 36
11382328 4006 7C
11395673 400C 35
11412198 4017 40
11412202 4006 FF
11412206 4005 87
11412210 4017 C0
11412218 4005 08
11412222 4006 3A
11425503 400C 34
11441987 4004 30
11455332 400C 33
11457687 4008 00
11457687 400B 04
11482807 4008 FF
11482807 400A F8
11482807 400B FB
11482807 4000 7F
11482807 4001 08
11482807 4002 52
11482807 4003 F9
11482807 4004 39
11482807 4005 08
11482807 4006 FB
11482807 4007 F9
11482807 400C 3D
11482807 400E 06
11482807 400F F8
11485162 400C 32
11512636 4004 38
11512636 4006 AB
11512636 400C 3B
11512636 400E 04
11514991 400C 31
11542466 4000 7E
11542466 4004 37
11542466 4006 52
11542466 400C 38
11542466 400E 03
11544821 400C 30
11572295 4000 7D
11572295 4006 FB
11572295 400C 34
11572295 400E 01
11602125 4000 7C
11602125 4004 36
11602125 4006 AB
11602125 400C 32
11602125 400E 00
11631955 4006 52
11631955 400C 30
11661784 4000 7B
11661784 4006 FB
11691614 4006 AB
11721443 4000 7A
11721443 4006 52
11751273 4006 FB
11781102 4006 AB
11810932 4008 00
11810932 400B 03
11810932 4000 79
11810932 4006 52
11836051 4008 FF
11836051 400A F8
11836051 400B FB
11836051 400C 36
11836051 400E 8D
11836051 400F F8
11840761 4006 FB
11865881 400C 33
11870591 4002 50
11870591 4006 AB
11895711 400C 31
11900420 4000 78
11900420 4002 4F
11900420 4006 52
11925540 400C 30
11930250 4002 50
11930250 4006 FB
11960080 4002 52
11960080 4006 AB
11989909 4002 55
11989909 4006 52
12019739 4002 56
12019739 4006 FB
12049568 4002 55
12049568 4006 AB
12079398 4002 52
12079398 4006 52
12109227 4002 50
12109227 4006 FB
12139057 4002 4F
12139057 4006 AB
12164176 4008 00
12164176 400B 03
12168886 4000 30
12168886 4006 52
12189296 4008 FF
12189296 400A F8
12189296 400B FB
12189296 4000 7F
12189296 4001 08
12189296 4002 1C
12189296 4003 F9
12189296 400C 3C
12189296 400E 09
12189296 400F F8
12198716 4006 FB
12219126 400C 3A
12228546 4006 AB
12248955 4000 7E
12248955 400C 37
12258375 4006 52
12278785 4000 7D
12278785 400C 34
12288205 4006 FB
12308614 4000 7C
12308614 400C 32
12318034 4006 AB
12338444 400C 31
12347864 4006 52
12368273 4000 7B
12368273 400C 30
12377693 4006 FB
12407523 4006 AB
12427933 4000 7A
12437352 4006 52
12467182 4006 FB
12497011 4006 AB
12517421 4008 00
12517421 400B 03
12517421 4000 30
12526841 4006 52
12542541 4008 FF
12542541 400A F8
12542541 400B FB
12542541 4000 7F
12542541 4001 08
12542541 4002 FD
12542541 4003 F8
12542541 400C 36
12542541 400E 8D
12542541 400F F8
12556671 4006 FB
12572370 400C 33
12586500 4006 AB
12602200 4000 7E
12602200 400C 31
12616330 4006 52
12632029 4000 7D
12632029 400C 30
12646159 4006 FB
12661859 4000 7C
12675989 4006 AB
12705818 4006 52
12721518 4000 7B
12735648 4006 FB
12765477 4006 AB
12781177 4000 7A
12795307 4006 52
12825137 4006 FB
12854966 4006 AB
12870666 4008 00
12870666 400B 03
12870666 4000 79
12884796 4006 52
12895785 4008 FF
12895785 400A F8
12895785 400B FB
12895785 400C 3D
12895785 400E 06
12895785 400F F8
12914625 4006 FB
12925615 400C 3B
12925615 400E 04
12930325 4002 FB
12944455 4006 AB
12955445 400C 38
12955445 400E 03
12960154 4000 78
12974284 4006 52
12985274 400C 34
12985274 400E 01
13004114 4006 FB
13015104 400C 32
13015104 400E 00
13019814 4002 FD
13033943 4006 AB
13044933 400C 30
13049643 4002 FF
13063773 4006 52
13079473 4017 40
13079477 4002 FF
13079481 4001 87
13079485 4017 C0
13079493 4001 08
13079497 4002 00
13093602 4006 FB
13109302 4017 40
13109306 4002 00
13109310 4001 8F
13109314 4017 C0
13109322 4001 08
13109326 4002 FF
13123432 4006 AB
13139132 4002 FD
13153262 4006 52
13168961 4002 FB
13183091 4006 FB
13212921 4006 AB
13223911 4008 00
13223911 400B 03
13228620 4000 30
13242750 4006 52
13249030 4008 FF
13249030 400A F8
13249030 400B FB
13249030 4000 7F
13249030 4001 08
13249030 4002 E1
13249030 4003 F8
13249030 400C 36
13249030 400E 8D
13249030 400F F8
13272580 4006 FB
13278860 400C 33
13302409 4006 AB
13308689 4000 7E
13308689 400C 31
13332239 4006 52
13338519 4000 7D
13338519 400C 30
13362068 4006 FB
13368348 4000 7C
13391898 4006 AB
13421728 4006 52
13425652 400C 3D
13425652 400E 06
13425652 400F F8
13428007 4000 7B
13451557 4006 FB
13455482 400C 3B
13455482 400E 04
13481387 4006 AB
13485312 400C 38
13485312 400E 03
13487667 4000 7A
13511216 4006 52
13515141 400C 34
13515141 400E 01
13541046 4006 FB
13544971 400C 32
13544971 400E 00
13570875 4006 AB
13574800 400C 30
13577155 4008 00
13577155 400B 03
13577155 4000 30
13600705 4006 52
13602275 4008 FF
13602275 400A F8
13602275 400B FB
13602275 4000 7F
13602275 4001 08
13602275 4002 D5
13602275 4003 F8
13602275 400C 3C
13602275 400E 09
13602275 400F F8
13630534 4006 FB
13632104 400C 3A
13660364 4006 AB
13661934 4000 7E
13661934 400C 37
13690193 4006 52
13691763 4000 7D
13691763 400C 34
13720023 4006 FB
13721593 4000 7C
13721593 400C 32
13749853 4006 AB
13751423 400C 31
13779682 4006 52
13781252 4000 7B
13781252 400C 30
13809512 4006 FB
13839341 4006 AB
13840911 4000 7A
13869171 4006 52
13899000 4006 FB
13928830 4006 AB
13930400 4008 00
13930400 400B 03
13930400 4000 79
13955519 4008 FF
13955519 400A 74
13955519 400B FC
13955519 400C 36
13955519 400E 8D
13955519 400F F8
13958659 4006 52
13985349 400C 33
13988489 4006 FB
13990059 4002 D3
14015179 400C 31
14018319 4006 AB
14019889 4000 78
14045008 400C 30
14048148 4006 52
14077978 4006 FB
14079548 4002 D5
14107807 4006 AB
14109377 4002 D6
14137637 4006 52
14139207 4002 D7
14167466 4006 FB
14169036 4002 D6
14197296 4006 AB
14198866 4002 D5
14227125 4006 52
14228695 4002 D3
14256955 4004 30
14283645 4008 00
14283645 400B 04
14288354 4000 30
14308764 4008 FF
14308764 400A 00
14308764 400B FD
14308764 4000 7F
14308764 4001 08
14308764 4002 D5
14308764 4003 F8
14308764 4004 39
14308764 4005 08
14308764 4006 80
14308764 4007 FA
14308764 400C 3D
14308764 400E 06
14308764 400F F8
14338594 4004 38
14338594 400C 3B
14338594 400E 04
14338634 4017 40
14338638 4006 00
14338642 4005 8F
14338646 4017 C0
14338654 4005 08
14338658 4006 FB
14368423 4000 7E
14368423 4004 37
14368423 4006 AB
14368423 400C 38
14368423 400E 03
14398253 4000 7D
14398253 400C 34
14398253 400E 01
14398293 4017 40
14398297 4006 FF
14398301 4005 87
14398305 4017 C0
14398313 4005 08
14398317 4006 80
14428082 4000 7C
14428082 4004 36
14428082 400C 32
14428082 400E 00
14428122 4017 40
14428126 4006 00
14428130 4005 8F
14428134 4017 C0
14428142 4005 08
14428146 4006 FB
14457912 4006 AB
14457912 400C 30
14487741 4000 7B
14487781 4017 40
14487785 4006 FF
14487789 4005 87
14487793 4017 C0
14487801 4005 08
14487805 4006 80
14517611 4017 40
14517615 4006 00
14517619 4005 8F
14517623 4017 C0
14517631 4005 08
14517635 4006 FB
14547401 4000 7A
14547401 4006 AB
14577270 4017 40
14577274 4006 FF
14577278 4005 87
14577282 4017 C0
14577290 4005 08
14577294 4006 80
14607100 4017 40
14607104 4006 00
14607108 4005 8F
14607112 4017 C0
14607120 4005 08
14607124 4006 FB
14636889 4008 00
14636889 400B 05
14636889 4000 79
14636889 4006 AB
14662009 4008 FF
14662009 400A 00
14662009 400B FD
14662009 400C 36
14662009 400E 8D
14662009 400F F8
14666759 4017 40
14666763 4006 FF
14666767 4005 87
14666771 4017 C0
14666779 4005 08
14666783 4006 80
14691838 400C 33
14696548 4002 D3
14696588 4017 40
14696592 4006 00
14696596 4005 8F
14696600 4017 C0
14696608 4005 08
14696612 4006 FB
14721668 400C 31
14726378 4000 78
14726378 4006 AB
14751497 400C 30
14756247 4017 40
14756251 4006 FF
14756255 4005 87
14756259 4017 C0
14756267 4005 08
14756271 4006 80
14786037 4002 D5
14786077 4017 40
14786081 4006 00
14786085 4005 8F
14786089 4017 C0
14786097 4005 08
14786101 4006 FB
14815866 4002 D6
14815866 4006 AB
14845696 4002 D7
14845736 4017 40
14845740 4006 FF
14845744 4005 87
14845748 4017 C0
14845756 4005 08
14845760 4006 80
14875526 4002 D6
14875566 4017 40
14875570 4006 00
14875574 4005 8F
14875578 4017 C0
14875586 4005 08
14875590 4006 FB
14905355 4002 D5
14905355 4006 AB
14935185 4002 D3
14935225 4017 40
14935229 4006 FF
14935233 4005 87
14935237 4017 C0
14935245 4005 08
14935249 4006 80
14965054 4017 40
14965058 4006 00
14965062 4005 8F
14965066 4017 C0
14965074 4005 08
14965078 4006 FB
14990134 4008 00
14990134 400B 05
14994844 4000 30
14994844 4006 AB
15015253 4008 FF
15015253 400A 00
15015253 400B FD
15015253 4000 7F
15015253 4001 08
15015253 4002 A9
15015253 4003 F8
15015253 400C 3C
15015253 400E 09
15015253 400F F8
15024713 4017 40
15024717 4006 FF
15024721 4005 87
15024725 4017 C0
15024733 4005 08
15024737 4006 80
15045083 400C 3A
15054543 4017 40
15054547 4006 00
15054551 4005 8F
15054555 4017 C0
15054563 4005 08
15054567 4006 FB
15074913 4000 7E
15074913 400C 37
15084332 4006 AB
15104742 4000 7D
15104742 400C 34
15114202 4017 40
15114206 4006 FF
15114210 4005 87
15114214 4017 C0
15114222 4005 08
15114226 4006 80
15134572 4000 7C
15134572 400C 32
15144032 4017 40
15144036 4006 00
15144040 4005 8F
15144044 4017 C0
15144052 4005 08
15144056 4006 FB
15164401 400C 31
15173821 4006 AB
15194231 4000 7B
15194231 400C 30
15203691 4017 40
15203695 4006 FF
15203699 4005 87
15203703 4017 C0
15203711 4005 08
15203715 4006 80
15233520 4017 40
15233524 4006 00
15233528 4005 8F
15233532 4017 C0
15233540 4005 08
15233544 4006 FB
15253890 4000 7A
15263310 4006 AB
15293179 4017 40
15293183 4006 FF
15293187 4005 87
15293191 4017 C0
15293199 4005 08
15293203 4006 80
15323009 4017 40
15323013 4006 00
15323017 4005 8F
15323021 4017 C0
15323029 4005 08
15323033 4006 FB
15343379 4008 00
15343379 400B 05
15343379 4000 30
15352798 4006 AB
15368498 4008 FF
15368498 400A 00
15368498 400B FD
15368498 4000 7F
15368498 4001 08
15368498 4002 BD
15368498 4003 F8
15368498 400C 36
15368498 400E 8D
15368498 400F F8
15382668 4017 40
15382672 4006 FF
15382676 4005 87
15382680 4017 C0
15382688 4005 08
15382692 4006 80
15398328 400C 33
15412497 4017 40
15412501 4006 00
15412505 4005 8F
15412509 4017 C0
15412517 4005 08
15412521 4006 FB
15428157 4000 7E
15428157 400C 31
15442287 4006 AB
15457987 4000 7D
15457987 400C 30
15472157 4017 40
15472161 4006 FF
15472165 4005 87
15472169 4017 C0
15472177 4005 08
15472181 4006 80
15487816 4000 7C
15501986 4017 40
15501990 4006 00
15501994 4005 8F
15501998 4017 C0
15502006 4005 08
15502010 4006 FB
15531776 4006 AB
15545120 400C 36
15545120 400E 8D
15545120 400F F8
15547475 4000 7B
15561645 4017 40
15561649 4006 FF
15561653 4005 87
15561657 4017 C0
15561665 4005 08
15561669 4006 80
15574950 400C 33
15591475 4017 40
15591479 4006 00
15591483 4005 8F
15591487 4017 C0
15591495 4005 08
15591499 4006 FB
15604780 400C 31
15607135 4000 7A
15621264 4006 AB
15634609 400C 30
15651134 4017 40
15651138 4006 FF
15651142 4005 87
15651146 4017 C0
15651154 4005 08
15651158 4006 80
15680923 4004 30
15696623 4008 00
15696623 400B 05
15696623 4000 79
15721743 4008 FF
15721743 400A 74
15721743 400B FC
15721743 4004 39
15721743 4005 08
15721743 4006 3A
15721743 4007 FA
15721743 400C 3D
15721743 400E 06
15721743 400F F8
15751572 4004 38
15751572 400C 3B
15751572 400E 04
15751612 4017 40
15751616 4006 00
15751620 4005 8F
15751624 4017 C0
15751632 4005 08
15751636 4006 C4
15756282 4002 BC
15781402 4004 37
15781402 4006 7C
15781402 400C 38
15781402 400E 03
15786112 4000 78
15786112 4002 BB
15811231 400C 34
15811231 400E 01
15811271 4017 40
15811275 4006 FF
15811279 4005 87
15811283 4017 C0
15811291 4005 08
15811295 4006 3A
15815941 4002 BC
15841061 4004 36
15841061 400C 32
15841061 400E 00
15841101 4017 40
15841105 4006 00
15841109 4005 8F
15841113 4017 C0
15841121 4005 08
15841125 4006 C4
15845771 4002 BD
15870891 4006 7C
15870891 400C 30
15875601 4002 BF
15898365 400C 3D
15898365 400E 06
15898365 400F F8
15900760 4017 40
15900764 4006 FF
15900768 4005 87
15900772 4017 C0
15900780 4005 08
15900784 4006 3A
15928195 400C 3B
15928195 400E 04
15930590 4017 40
15930594 4006 00
15930598 4005 8F
15930602 4017 C0
15930610 4005 08
15930614 4006 C4
15958024 400C 38
15958024 400E 03
15960379 4006 7C
15965089 4002 BD
15987854 400C 34
15987854 400E 01
15990249 4017 40
15990253 4006 FF
15990257 4005 87
15990261 4017 C0
15990269 4005 08
15990273 4006 3A
15994919 4002 BC
16017683 400C 32
16017683 400E 00
16020078 4017 40
16020082 4006 00
16020086 4005 8F
16020090 4017 C0
16020098 4005 08
16020102 4006 C4
16024748 4002 BB
16047513 400C 30
16049868 4008 00
16049868 400B 04
16049868 4006 7C
16054578 4000 30
16074987 4008 FF
16074987 400A 74
16074987 400B FC
16074987 4000 7F
16074987 4001 08
16074987 4002 E1
16074987 4003 F8
16074987 400C 3C
16074987 400E 09
16074987 400F F8
16079737 4017 40
16079741 4006 FF
16079745 4005 87
16079749 4017 C0
16079757 4005 08
16079761 4006 3A
16104817 400C 3A
16109567 4017 40
16109571 4006 00
16109575 4005 8F
16109579 4017 C0
16109587 4005 08
16109591 4006 C4
16134647 4000 7E
16134647 400C 37
16139357 4006 7C
16164476 4000 7D
16164476 400C 34
16169226 4017 40
16169230 4006 FF
16169234 4005 87
16169238 4017 C0
16169246 4005 08
16169250 4006 3A
16194306 4000 7C
16194306 400C 32
16199056 4017 40
16199060 4006 00
16199064 4005 8F
16199068 4017 C0
16199076 4005 08
16199080 4006 C4
16224135 400C 31
16228845 4006 7C
16253965 4000 7B
16253965 400C 30
16258715 4017 40
16258719 4006 FF
16258723 4005 87
16258727 4017 C0
16258735 4005 08
16258739 4006 3A
16288544 4017 40
16288548 4006 00
16288552 4005 8F
16288556 4017 C0
16288564 4005 08
16288568 4006 C4
16313624 4000 7A
16318334 4006 7C
16348203 4017 40
16348207 4006 FF
16348211 4005 87
16348215 4017 C0
16348223 4005 08
16348227 4006 3A
16378033 4017 40
16378037 4006 00
16378041 4005 8F
16378045 4017 C0
16378053 4005 08
16378057 4006 C4
16403113 4008 00
16403113 400B 04
16403113 4000 30
16407822 4006 7C
16428232 4008 FF
16428232 400A 74
16428232 400B FC
16428232 4000 7F
16428232 4001 08
16428232 4002 FD
16428232 4003 F8
16428232 400C 3C
16428232 400E 09
16428232 400F F8
16437692 4017 40
16437696 4006 FF
16437700 4005 87
16437704 4017 C0
16437712 4005 08
16437716 4006 3A
16458062 400C 3A
16467522 4017 40
16467526 4006 00
16467530 4005 8F
16467534 4017 C0
16467542 4005 08
16467546 4006 C4
16487891 4000 7E
16487891 400C 37
16497311 4006 7C
16517721 4000 7D
16517721 400C 34
16527181 4017 40
16527185 4006 FF
16527189 4005 87
16527193 4017 C0
16527201 4005 08
16527205 4006 3A
16547550 4000 7C
16547550 400C 32
16557010 4017 40
16557014 4006 00
16557018 4005 8F
16557022 4017 C0
16557030 4005 08
16557034 4006 C4
16577380 400C 31
16586800 4006 7C
16607209 4000 7B
16607209 400C 30
16616669 4017 40
16616673 4006 FF
16616677 4005 87
16616681 4017 C0
16616689 4005 08
16616693 4006 3A
16646499 4017 40
16646503 4006 00
16646507 4005 8F
16646511 4017 C0
16646519 4005 08
16646523 4006 C4
16666869 4000 7A
16676288 4006 7C
16706158 4017 40
16706162 4006 FF
16706166 4005 87
16706170 4017 C0
16706178 4005 08
16706182 4006 3A
16735988 4017 40
16735992 4006 00
16735996 4005 8F
16736000 4017 C0
16736008 4005 08
16736012 4006 C4
16756357 4008 00
16756357 400B 04
16756357 4000 30
16765777 4006 7C
16781477 4008 FF
16781477 400A 74
16781477 400B FC
16781477 4000 30
16781477 400C 36
16781477 400E 8D
16781477 400F F8
16795647 4017 40
16795651 4006 FF
16795655 4005 87
16795659 4017 C0
16795667 4005 08
16795671 4006 3A
16811306 400C 33
16825476 4017 40
16825480 4006 00
16825484 4005 8F
16825488 4017 C0
16825496 4005 08
16825500 4006 C4
16841136 400C 31
16855266 4006 7C
16870965 400C 30
16885135 4017 40
16885139 4006 FF
16885143 4005 87
16885147 4017 C0
16885155 4005 08
16885159 4006 3A
16914965 4017 40
16914969 4006 00
16914973 4005 8F
16914977 4017 C0
16914985 4005 08
16914989 4006 C4
16944754 4006 7C
16958099 400C 38
16958099 400E 8C
16958099 400F F8
16974624 4017 40
16974628 4006 FF
16974632 4005 87
16974636 4017 C0
16974644 4005 08
16974648 4006 3A
16987929 400C 37
17004453 4017 40
17004457 4006 00
17004461 4005 8F
17004465 4017 C0
17004473 4005 08
17004477 4006 C4
17017758 400C 36
17034243 4006 7C
17047588 400C 35
17064113 4017 40
17064117 4006 FF
17064121 4005 87
17064125 4017 C0
17064133 4005 08
17064137 4006 3A
17077417 400C 34
17093902 4004 30
17107247 400C 33
17109602 4008 00
17109602 400B 04
17134722 4008 FF
17134722 400A F8
17134722 400B FB
17134722 4000 7F
17134722 4001 08
17134722 4002 52
17134722 4003 F9
17134722 4004 39
17134722 4005 08
17134722 4006 FB
17134722 4007 F9
17134722 400C 3D
17134722 400E 06
17134722 400F F8
17137076 400C 32
17164551 4004 38
17164551 4006 AB
17164551 400C 3B
17164551 400E 04
17166906 400C 31
17194381 4000 7E
17194381 4004 37
17194381 4006 52
17194381 400C 38
17194381 400E 03
17196736 400C 30
17224210 4000 7D
17224210 4006 FB
17224210 400C 34
17224210 400E 01
17254040 4000 7C
17254040 4004 36
17254040 4006 AB
17254040 400C 32
17254040 400E 00
17283869 4006 52
17283869 400C 30
17313699 4000 7B
17313699 4006 FB
17343528 4006 AB
17373358 4000 7A
17373358 4006 52
17403187 4006 FB
17433017 4006 AB
17462847 4008 00
17462847 400B 03
17462847 4000 79
17462847 4006 52
17487966 4008 FF
17487966 400A F8
17487966 400B FB
17487966 400C 36
17487966 400E 8D
17487966 400F F8
17492676 4006 FB
17517796 400C 33
17522506 4002 50
17522506 4006 AB
17547625 400C 31
17552335 4000 78
17552335 4002 4F
17552335 4006 52
17577455 400C 30
17582165 4002 50
17582165 4006 FB
17611994 4002 52
17611994 4006 AB
17641824 4002 55
17641824 4006 52
17671653 4002 56
17671653 4006 FB
17701483 4002 55
17701483 4006 AB
17731313 4002 52
17731313 4006 52
17761142 4002 50
17761142 4006 FB
17790972 4002 4F
17790972 4006 AB
17816091 4008 00
17816091 400B 03
17820801 4000 30
17820801 4006 52
17841211 4008 FF
17841211 400A F8
17841211 400B FB
17841211 4000 7F
17841211 4001 08
17841211 4002 1C
17841211 4003 F9
17841211 400C 3C
17841211 400E 09
17841211 400F F8
17850631 4006 FB
17871040 400C 3A
17880460 4006 AB
